PERMCO,GVKEY,companyid
5,16671,2917
7,1690,2355
23,11153,141957
24,1402,1764
25,1619,2116
29,1663,2230
33,3505,7847
35,1259,1362
37,1094,631
43,16609,2575464
59,1121,751
61,1164,33727
65,1117,26018
82,1554,1924
90,1447,1815
92,1449,1017
100,1020,1679784
109,1021,1019
116,1837,1069
121,1468,1833
132,1236,1283
137,1487,1856
153,1266,1383
157,1254,1349
157,1254,1830202
162,1331,1600
168,16633,1498
173,1633,2146
176,1050,6149
184,12088,1647
194,1704,2382
205,1360,27619
211,1161,881
216,1602,2068
217,1470,1992178
238,1611,2095
249,1500,1144079
250,7799,21659
250,7799,1651568
261,1526,1888
265,1627,68555
270,1641,2175
272,1651,2186
275,1635,2155
282,1632,2145
283,1634,2148
297,12075,1455
301,6809,7408
302,7261,1284179
317,1686,2331
323,1706,729
326,1718,887
332,1728,2507
336,1056,967
352,1712,2447
357,1783,2660
362,11842,2817
370,1104,656
376,1173,973
377,1797,2788
377,185323,2052610
392,1234,2975
397,1823,2864
398,2595,5470
403,1860,2993
407,1884,9159
418,1496,1869
418,1496,1587329
421,1906,3184
430,1926,3344
436,13853,3446
469,2312,26429
478,2100,3880
